ticker,sector,country,notes,enterprise_value,market_cap,revenue_total,revenue_ttm,ev_to_revenue,ev_rev_method,pe_ttm,price,currency,data_date
ADYEN.AS,Fintech,Netherlands,Payments,33624700928.0,,2191802880.0,,15.341115405414559,EV/TotalRevenue,,,EUR,2025-10-16
NEXI.MI,Fintech,Italy,Payments,9228406784.0,,6343166976.0,,1.4548579312063816,EV/TotalRevenue,,,EUR,2025-10-16
WISE.L,Fintech,United Kingdom,Money transfer,8720176128.0,,1644999936.0,,5.301019129036611,EV/TotalRevenue,,,GBp,2025-10-16
SHOP,SaAS,Canada,Commerce platform,198339002368.0,,10014000128.0,,19.806171343400248,EV/TotalRevenue,,,USD,2025-10-16
WIX,SaAS,Israel,Website builder,7439434752.0,,1868708992.0,,3.98105578977168,EV/TotalRevenue,,,USD,2025-10-16
SAP.DE,SaAS,Germany,Enterprise software,271718318080.0,,35887001600.0,,7.571496808471176,EV/TotalRevenue,,,EUR,2025-10-16
ORSTED.CO,Climate Tech,Denmark,Renewables developer,126699028480.0,,74682998784.0,,1.696490908813692,EV/TotalRevenue,,,DKK,2025-10-16
VWS.CO,Climate Tech,Denmark,Wind turbines,137778331648.0,,18531000320.0,,7.435018577993311,EV/TotalRevenue,,,DKK,2025-10-16
NIBE-B.ST,Climate Tech,Sweden,Heat pumps & efficiency,94702501888.0,,40746999808.0,,2.3241588910653177,EV/TotalRevenue,,,SEK,2025-10-16
SHL.DE,Healthtech,Germany,Siemens Healthineers,66449121280.0,,23381999616.0,,2.8418921551315792,EV/TotalRevenue,,,EUR,2025-10-16
PHIA.AS,Healthtech,Netherlands,Philips,29340223488.0,,17855000576.0,,1.643249652281613,EV/TotalRevenue,,,EUR,2025-10-16
TDOC,Healthtech,USA,Telehealth,1935085568.0,,2542267904.0,,0.7611650860852783,EV/TotalRevenue,,,USD,2025-10-16
ASML.AS,Deeptech,Netherlands,Semiconductor equipment,334650212352.0,,32163299328.0,,10.404722753696719,EV/TotalRevenue,,,EUR,2025-10-16
BESI.AS,Deeptech,Netherlands,Backend semiconductors,11564027904.0,,602228992.0,,19.20204450070713,EV/TotalRevenue,,,EUR,2025-10-16
AIR.PA,Deeptech,France,Aerospace,162066857984.0,,70015000576.0,,2.314744792554553,EV/TotalRevenue,,,EUR,2025-10-16
ZAL.DE,Consumer,Germany,E-commerce fashion,6488351744.0,,10942499840.0,,0.592949676844592,EV/TotalRevenue,,,EUR,2025-10-16
HFG.DE,Consumer,Germany,Meal kits,1478514048.0,,7267299840.0,,0.20344750877927173,EV/TotalRevenue,,,EUR,2025-10-16
ROO.L,Consumer,United Kingdom,Food delivery,2248783360.0,,2146400000.0,,1.0477000372717107,EV/TotalRevenue,,,GBp,2025-10-16
AI,AI-native,USA,C3.ai,2007034624.0,,372104000.0,,5.393746436480124,EV/TotalRevenue,,,USD,2025-10-16
PATH,AI-native,USA,UiPath (automation),7494574080.0,,1496651008.0,,5.007562912088053,EV/TotalRevenue,,,USD,2025-10-16
DARK.L,AI-native,United Kingdom,error: 'currency',,,,,,,,,,2025-10-16
NOW,B2B SaaS,USA,ServiceNow,183677026304.0,,12056999936.0,,15.234057168365236,EV/TotalRevenue,,,USD,2025-10-16
CRM,B2B SaaS,USA,Salesforce,221661167616.0,,39502000128.0,,5.611390990272441,EV/TotalRevenue,,,USD,2025-10-16
HUBS,B2B SaaS,USA,HubSpot,22082619392.0,,2847901952.0,,7.753995665648534,EV/TotalRevenue,,,USD,2025-10-16
TEAM,B2B SaaS,USA,Atlassian,37610397696.0,,5215304192.0,,7.211544391541409,EV/TotalRevenue,,,USD,2025-10-16
WIX,B2B SaaS,Israel,Wix,7439434752.0,,1868708992.0,,3.98105578977168,EV/TotalRevenue,,,USD,2025-10-16
AI,AI-native,USA,C3.ai,2007034624.0,,372104000.0,,5.393746436480124,EV/TotalRevenue,,,USD,2025-10-16
PATH,AI-native,USA,UiPath,7494574080.0,,1496651008.0,,5.007562912088053,EV/TotalRevenue,,,USD,2025-10-16
PLTR,AI-native,USA,Palantir,420454203392.0,,3440587008.0,,122.20420597251758,EV/TotalRevenue,,,USD,2025-10-16
SHL.DE,Healthtech,Germany,Siemens Healthineers,66449121280.0,,23381999616.0,,2.8418921551315792,EV/TotalRevenue,,,EUR,2025-10-16
PHIA.AS,Healthtech,Netherlands,Philips,29340223488.0,,17855000576.0,,1.643249652281613,EV/TotalRevenue,,,EUR,2025-10-16
TDOC,Healthtech,USA,Teladoc,1935085568.0,,2542267904.0,,0.7611650860852783,EV/TotalRevenue,,,USD,2025-10-16
ASML.AS,Deeptech,Netherlands,ASML,334650212352.0,,32163299328.0,,10.404722753696719,EV/TotalRevenue,,,EUR,2025-10-16
BESI.AS,Deeptech,Netherlands,Besi,11564027904.0,,602228992.0,,19.20204450070713,EV/TotalRevenue,,,EUR,2025-10-16
AIR.PA,Deeptech,France,Airbus,162066857984.0,,70015000576.0,,2.314744792554553,EV/TotalRevenue,,,EUR,2025-10-16
ZAL.DE,Consumer,Germany,Zalando,6488351744.0,,10942499840.0,,0.592949676844592,EV/TotalRevenue,,,EUR,2025-10-16
HFG.DE,Consumer,Germany,HelloFresh,1478514048.0,,7267299840.0,,0.20344750877927173,EV/TotalRevenue,,,EUR,2025-10-16
ROO.L,Consumer,United Kingdom,Deliveroo,2248783360.0,,2146400000.0,,1.0477000372717107,EV/TotalRevenue,,,GBp,2025-10-16
